region,state,number,service
Inner regional,NSW,8705,CBDC
Inner regional,NSW,1232,OSHC
Inner regional,NSW,2029,PRE
Inner regional,QLD,5311,CBDC
Inner regional,QLD,693,OSHC
Inner regional,QLD,692,PRE
Inner regional,SA,636,CBDC
Inner regional,SA,191,OSHC
Inner regional,SA,115,PRE
Inner regional,VIC,6143,CBDC
Inner regional,VIC,1081,OSHC
Inner regional,VIC,1451,PRE
Major city,NSW,39254,CBDC
Major city,NSW,8390,OSHC
Major city,NSW,4399,PRE
Major city,QLD,25883,CBDC
Major city,QLD,4668,OSHC
Major city,QLD,1465,PRE
Major city,SA,7241,CBDC
Major city,SA,2566,OSHC
Major city,SA,1501,PRE
Major city,VIC,32044,CBDC
Major city,VIC,3710,OSHC
Major city,VIC,6936,PRE
Outer regional,NSW,1247,CBDC
Outer regional,NSW,115,OSHC
Outer regional,NSW,581,PRE
Outer regional,QLD,3939,CBDC
Outer regional,QLD,754,OSHC
Outer regional,QLD,518,PRE
Outer regional,SA,750,CBDC
Outer regional,SA,114,OSHC
Outer regional,SA,362,PRE
Outer regional,VIC,1079,CBDC
Outer regional,VIC,130,OSHC
Outer regional,VIC,237,PRE
